Vocabulary-Kanji,Vocabulary-Furigana,Vocabulary-Kana,Vocabulary-English,Vocabulary-Pos,Expression,Reading,Sentence-Kana,Sentence-English,Sentence-Clozed
七,七[なな],なな,seven,Noun,バナナが<b>七</b>本あります。,バナナが<b> 七[なな]</b> 本[ほん]あります。,ばなな が <b>なな</b>ほん あります,There are seven bananas.,バナナが<b>（　）</b> 本[ほん]あります。
七つ,七[なな]つ,ななつ,seven (things),Noun,この子は今年<b>七つ</b>になります。,この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。,この こ は ことし <b>ななつ</b> に なります,Our kid's turning seven this year.,この 子[こ]は 今年[ことし]<b>（　）</b>になります。
八,八[はち],はち,eight,Noun,りんごを<b>八</b>個ください。,りんごを<b> 八[はち]</b> 個[こ]ください。,りんご を <b>はち</b>こ ください,Please give me eight apples.,りんごを<b>（　）</b> 個[こ]ください。
八つ,八[やっ]つ,やっつ,eight (things),Noun,あの家には時計が<b>八つ</b>あります。,あの 家[いえ]には 時計[とけい]が<b> 八[やっ]つ</b>あります。,あの いえ に は とけい が <b>やっつ</b> あります,There are eight clocks in that house.,あの 家[いえ]には 時計[とけい]が<b>（　）</b>あります。
なる,なる,なる,become,Verb,彼は医者に<b>なりました</b>。,彼[かれ]は 医者[いしゃ]に<b>なりました</b>。,かれ は いしゃ に <b>なりました</b>,He became a doctor.,彼[かれ]は 医者[いしゃ]に<b>（　）</b>。
九,九[きゅう],きゅう,nine,Noun,野球は<b>九</b>人で1チームです。,野球[やきゅう]は<b> 九[きゅう]</b> 人[にん]で 1[ひと]チームです。,やきゅう は <b>きゅう</b>にん で ひとちーむ です,In baseball there are nine people on one team.,野球[やきゅう]は<b>（　）</b> 人[にん]で 1[ひと]チームです。
九つ,九[ここの]つ,ここのつ,nine (things),Noun,娘は明日<b>九つ</b>になります。,娘[むすめ]は 明日[あす]<b> 九[ここの]つ</b>になります。,むすめ は あす <b>ここのつ</b> に なります,My daughter's turning nine tomorrow.,娘[むすめ]は 明日[あす]<b>（　）</b>になります。
十,十[じゅう],じゅう,ten,Noun,その子は指で<b>十</b>数えました。,その 子[こ]は 指[ゆび]で<b> 十[じゅう]</b> 数[かぞ]えました。,その こ は ゆび で <b>じゅう</b> かぞえました,The child counted to ten on her fingers.,その 子[こ]は 指[ゆび]で<b>（　）</b> 数[かぞ]えました。
百,百[ひゃく],ひゃく,hundred,Noun,私の祖母は<b>百</b>才です。,私[わたし]の 祖母[そぼ]は<b> 百[ひゃく]</b> 才[さい]です。,わたし の そぼ は <b>ひゃく</b>さい です,My grandmother is 100 years old.,私[わたし]の 祖母[そぼ]は<b>（　）</b> 才[さい]です。
千,千[せん],せん,thousand,Noun,<b>千</b>円貸してください。,<b> 千[せん]</b> 円貸[えん か]してください。,<b>せん</b>えん かして ください,Please lend me 1000 yen.,<b>（　）</b> 円貸[えん か]してください。
万,万[まん],まん,ten thousand,Noun,この靴は1<b>万</b>円です。,この 靴[くつ]は 1[いち]<b> 万[まん]</b> 円[えん]です。,この くつ は いち<b>まん</b>えん です,These shoes are ten thousand yen.,この 靴[くつ]は 1[いち]<b>（　）</b> 円[えん]です。
円,円[えん],えん,circle,Noun,そこに大きな<b>円</b>を描いて。,そこに 大[おお]きな<b> 円[えん]</b>を 描[か]いて。,そこ に おおき な <b>えん</b> を かいて,Draw a big circle there.,そこに 大[おお]きな<b>（　）</b>を 描[か]いて。
円,円[えん],えん,yen,Noun,カレーライスは700<b>円</b>です。,カレーライスは 700[ななひゃく]<b> 円[えん]</b>です。,かれーらいす は ななひゃく<b>えん</b> です,The curry and rice is 700 yen.,カレーライスは 700[ななひゃく]<b>（　）</b>です。
時,時[とき],とき,time,Noun,<b>時</b>の経つのは早い。,<b> 時[とき]</b>の 経[た]つのは 早[はや]い。,<b>とき</b> の たつ の は はやい,Time passes by quickly.,<b>（　）</b>の 経[た]つのは 早[はや]い。
する,する,する,"do, make",Verb,友達と一緒に宿題を<b>した</b>。,友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。,ともだち と いっしょ に しゅくだい を <b>した</b>,I did my homework with a friend.,友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>（　）</b>。
時々,時々[ときどき],ときどき,sometimes,Adverb,彼は<b>時々</b>遅刻します。,彼[かれ]は<b> 時々[ときどき]</b> 遅刻[ちこく]します。,かれ は <b>ときどき</b> ちこく します,He's sometimes late.,彼[かれ]は<b>（　）</b> 遅刻[ちこく]します。
日,日[にち],にち,day,Noun,私たちは先月11<b>日</b>に結婚しました。,私[わたし]たちは 先月11[せんげつ じゅういち]<b> 日[にち]</b>に 結婚[けっこん]しました。,わたしたち は せんげつ じゅういち <b>にち</b> に けっこん しました,We got married last month on the 11th.,私[わたし]たちは 先月11[せんげつ じゅういち]<b>（　）</b>に 結婚[けっこん]しました。
六日,六日[むいか],むいか,"six days, 6th of the month",Noun,<b>六日</b>前に日本に帰ってきました。,<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。,<b>むいか</b>まえ に にほん に かえって きました,I came back to Japan six days ago.,<b>（　）</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。
三日,三日[みっか],みっか,"three days, 3rd of the month",Noun,手紙が届くのに<b>三日</b>かかりました。,手紙[てがみ]が 届[とど]くのに<b> 三日[みっか]</b>かかりました。,てがみ が とどく の に <b>みっか</b> かかりました,It took three days for the letter to arrive.,手紙[てがみ]が 届[とど]くのに<b>（　）</b>かかりました。
五日,五日[いつか],いつか,"five days, 5th of the month",Noun,五月<b>五日</b>は祝日です,五月[ごがつ]<b> 五日[いつか]</b>は 祝日[しゅくじつ]です,ごがつ <b>いつか</b> は しゅくじつ です,May 5th is a holiday.,五月[ごがつ]<b>（　）</b>は 祝日[しゅくじつ]です
八日,八日[ようか],ようか,"eight days, 8th of the month",Noun,<b>八日</b>からイギリスに行きます。,<b> 八日[ようか]</b>からイギリスに 行[い]きます。,<b>ようか</b> から いぎりす に いきます,I go to England on the eighth.,<b>（　）</b>からイギリスに 行[い]きます。
二十日,二十日[はつか],はつか,"20 days, 20th of the month",Noun,来月の<b>二十日</b>は弟の誕生日です。,来月[らいげつ]の<b> 二十日[はつか]</b>は 弟[おとうと]の 誕生日[たんじょうび]です。,らいげつ の <b>はつか</b> は おとうと の たんじょうび です,The 20th of next month is my little brother's birthday.,来月[らいげつ]の<b>（　）</b>は 弟[おとうと]の 誕生日[たんじょうび]です。
二日,二日[ふつか],ふつか,"two days, 2nd of the month",Noun,私は<b>二日</b>待った。,私[わたし]は<b> 二日[ふつか]</b> 待[ま]った。,わたし は <b>ふつか</b> まった,I waited two days.,私[わたし]は<b>（　）</b> 待[ま]った。
九日,九日[ここのか],ここのか,"nine days, 9th of the month",Noun,<b>九日</b>に荷物が届きます。,<b> 九日[ここのか]</b>に 荷物[にもつ]が 届[とど]きます。,<b>ここのか</b> に にもつ が とどきます,The package will arrive on the ninth.,<b>（　）</b>に 荷物[にもつ]が 届[とど]きます。
ところ,ところ,ところ,place,Noun,私は友達の<b>ところ</b>に泊まった。,私[わたし]は 友達[ともだち]の<b>ところ</b>に 泊[と]まった。,わたし は ともだち の <b>ところ</b> に とまった,I stayed at my friend's place for the night.,私[わたし]は 友達[ともだち]の<b>（　）</b>に 泊[と]まった。
一日,一日[ついたち],ついたち,1st of the month,Noun,来月の<b>一日</b>は空いていますか。,来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。,らいげつ の <b>ついたち</b> は あいています か,Are you free on the 1st of next month?,来月[らいげつ]の<b>（　）</b>は 空[あ]いていますか。
十日,十日[とおか],とおか,"ten days, 10th of the month",Noun,<b>十日</b>後に帰ります。,<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。,<b>とおか</b>ご に かえります,I'll come home in ten days.,<b>（　）</b> 後[ご]に 帰[かえ]ります。
七日,七日[なのか],なのか,"seven days, 7th of the month",Noun,先月の<b>七日</b>に孫が生まれました。,先月[せんげつ]の<b> 七日[なのか]</b>に 孫[まご]が 生[う]まれました。,せんげつ の <b>なのか</b> に まご が うまれました,My grandchild was born on the seventh of last month.,先月[せんげつ]の<b>（　）</b>に 孫[まご]が 生[う]まれました。
四日,四日[よっか],よっか,"four days, 4th of the month",Noun,新学期は来月の<b>四日</b>からです。,新学期[しんがっき]は 来月[らいげつ]の<b> 四日[よっか]</b>からです。,しんがっき は らいげつ の <b>よっか</b> から です,The new school term starts on the fourth of next month.,新学期[しんがっき]は 来月[らいげつ]の<b>（　）</b>からです。
月,月[つき],つき,moon,Noun,今夜は<b>月</b>がとてもきれいです。,今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。,こんや は <b>つき</b> が とても きれい です,The moon looks so beautiful tonight.,今夜[こんや]は<b>（　）</b>がとてもきれいです。
水,水[みず],みず,water,Noun,<b>水</b>を一杯ください。,<b> 水[みず]</b>を 一杯[いっぱい]ください。,<b>みず</b> を いっぱい ください,Please give me a glass of water.,<b>（　）</b>を 一杯[いっぱい]ください。
金,金[かね],かね,money,Noun,これはかなり<b>金</b>がかかった。,これはかなり<b> 金[かね]</b>がかかった。,これ は かなり <b>かね</b> が かかった,This cost quite a bit of money.,これはかなり<b>（　）</b>がかかった。
日曜日,日曜日[にちようび],にちようび,Sunday,Noun,<b>日曜日</b>は海に行きました。,<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。,<b>にちようび</b> は うみ に いきました,We went to the seaside on Sunday.,<b>（　）</b>は 海[うみ]に 行[い]きました。
土曜日,土曜日[どようび],どようび,Saturday,Noun,<b>土曜日</b>の夜はクラブに行きます。,<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。,<b>どようび</b> の よる は くらぶ に いきます,I'm going to a club Saturday night.,<b>（　）</b>の 夜[よる]はクラブに 行[い]きます。
やる,やる,やる,do,Verb,一緒に宿題を<b>やろう</b>。,一緒[いっしょ]に 宿題[しゅくだい]を<b>やろう</b>。,いっしょ に しゅくだい を <b>やろう</b>,Let's do our homework together.,一緒[いっしょ]に 宿題[しゅくだい]を<b>（　）</b>。
金曜日,金曜日[きんようび],きんようび,Friday,Noun,<b>金曜日</b>の夜は友達と出かけます。,<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。,<b>きんようび</b> の よる は ともだち と でかけます,I go out with my friends on Friday nights.,<b>（　）</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。
月曜日,月曜日[げつようび],げつようび,Monday,Noun,<b>月曜日</b>に会いましょう。,<b> 月曜日[げつようび]</b>に 会[あ]いましょう。,<b>げつようび</b> に あいましょう,Let's meet on Monday.,<b>（　）</b>に 会[あ]いましょう。
木曜日,木曜日[もくようび],もくようび,Thursday,Noun,<b>木曜日</b>は仕事が休みです。,<b> 木曜日[もくようび]</b>は 仕事[しごと]が 休[やす]みです。,<b>もくようび</b> は しごと が やすみ です,Thursday is my day off work.,<b>（　）</b>は 仕事[しごと]が 休[やす]みです。
曜日,曜日[ようび],ようび,day of the week,Noun,<b>曜日</b>を間違えました。,<b> 曜日[ようび]</b>を 間違[まちが]えました。,<b>ようび</b> を まちがえました,I got the day of the week wrong.,<b>（　）</b>を 間違[まちが]えました。
火曜日,火曜日[かようび],かようび,Tuesday,Noun,<b>火曜日</b>に会議があります。,<b> 火曜日[かようび]</b>に 会議[かいぎ]があります。,<b>かようび</b> に かいぎ が あります,There's a meeting on Tuesday.,<b>（　）</b>に 会議[かいぎ]があります。
水曜日,水曜日[すいようび],すいようび,Wednesday,Noun,<b>水曜日</b>はバイトがあります。,<b> 水曜日[すいようび]</b>はバイトがあります。,<b>すいようび</b> は ばいと が あります,I have a part-time job on Wednesdays.,<b>（　）</b>はバイトがあります。
週,週[しゅう],しゅう,week,Noun,その次の<b>週</b>は空いてますか。,その 次[つぎ]の<b> 週[しゅう]</b>は 空[あ]いてますか。,その つぎ の <b>しゅう</b> は あいてます か,Are you free the following week?,その 次[つぎ]の<b>（　）</b>は 空[あ]いてますか。
年,年[とし],とし,"year, age",Noun,新しい<b>年</b>が始まりました。,新[あたら]しい<b> 年[とし]</b>が 始[はじ]まりました。,あたらしい <b>とし</b> が はじまりました,A new year has started.,新[あたら]しい<b>（　）</b>が 始[はじ]まりました。
分かる,分[わ]かる,わかる,understand,Verb,質問の意味は<b>分かりました</b>か。,質問[しつもん]の 意味[いみ]は<b> 分[わ]かりました</b>か。,しつもん の いみ は <b>わかりました</b> か,Did you understand the meaning of the question?,質問[しつもん]の 意味[いみ]は<b>（　）</b>か。
そう,そう,そう,"in such manner, that way",Adverb,私も<b>そう</b>思います。,私[わたし]も<b>そう</b> 思[おも]います。,わたし も <b>そう</b> おもいます,That's what I think too.,私[わたし]も<b>（　）</b> 思[おも]います。
何,何[なに],なに,"what, which",Noun,夕食には<b>何</b>を食べたいですか。,夕食[ゆうしょく]には<b> 何[なに]</b>を 食[た]べたいですか。,ゆうしょく に は <b>なに</b> を たべたい です か,What would you like for supper?,夕食[ゆうしょく]には<b>（　）</b>を 食[た]べたいですか。
先,先[さき],さき,"ahead, first",Noun,お<b>先</b>にどうぞ。,お<b> 先[さき]</b>にどうぞ。,お<b>さき</b>に どうぞ,Please go ahead.,お<b>（　）</b>にどうぞ。
今年,今年[ことし],ことし,this year,Noun,<b>今年</b>はイタリアに旅行したい。,<b> 今年[ことし]</b>はイタリアに 旅行[りょこう]したい。,<b>ことし</b> は いたりあ に りょこう したい,I want to travel to Italy this year.,<b>（　）</b>はイタリアに 旅行[りょこう]したい。
今,今[いま],いま,now,Adverb,彼は<b>今</b>、勉強しています。,彼[かれ]は<b> 今[いま]</b>、 勉強[べんきょう]しています。,かれ は <b>いま</b> べんきょう して います,He's studying now.,彼[かれ]は<b>（　）</b>、 勉強[べんきょう]しています。
今日,今日[きょう],きょう,today,Noun,<b>今日</b>は仕事がありません。,<b> 今日[きょう]</b>は 仕事[しごと]がありません。,<b>きょう</b> は しごと が ありません,I have no work today.,<b>（　）</b>は 仕事[しごと]がありません。
今月,今月[こんげつ],こんげつ,this month,Noun,<b>今月</b>はとても忙しい。,<b> 今月[こんげつ]</b>はとても 忙[いそが]しい。,<b>こんげつ</b> は とても いそがしい,I'm very busy this month.,<b>（　）</b>はとても 忙[いそが]しい。
今週,今週[こんしゅう],こんしゅう,this week,Noun,<b>今週</b>は日本語のテストがあります。,<b> 今週[こんしゅう]</b>は 日本語[にほんご]のテストがあります。,<b>こんしゅう</b> は にほんご の てすと が あります,There's a Japanese test this week.,<b>（　）</b>は 日本語[にほんご]のテストがあります。
来る,来[く]る,くる,come,Verb,彼は昼過ぎに<b>来ます</b>。,彼[かれ]は 昼過[ひるす]ぎに<b> 来[き]ます</b>。,かれ は ひるすぎ に <b>きます</b>,He'll come after lunch.,彼[かれ]は 昼過[ひるす]ぎに<b>（　）</b>。
来年,来年[らいねん],らいねん,next year,Noun,<b>来年</b>一緒に旅行しましょう。,<b> 来年[らいねん]</b> 一緒[いっしょ]に 旅行[りょこう]しましょう。,<b>らいねん</b> いっしょ に りょこう しましょう,Let's travel together next year.,<b>（　）</b> 一緒[いっしょ]に 旅行[りょこう]しましょう。
もう,もう,もう,"already, yet",Adverb,彼は<b>もう</b>帰りました。,彼[かれ]は<b>もう</b> 帰[かえ]りました。,かれ は <b>もう</b> かえりました 。,He's already gone home.,彼[かれ]は<b>（　）</b> 帰[かえ]りました。
行く,行[い]く,いく,go,Verb,日曜日は図書館に<b>行きます</b>。,日曜日[にちようび]は 図書館[としょかん]に<b> 行[い]きます</b>。,にちようび は としょかん に <b>いきます</b>,I go to the library on Sundays.,日曜日[にちようび]は 図書館[としょかん]に<b>（　）</b>。
帰る,帰[かえ]る,かえる,"return, go back",Verb,家に<b>帰ろう</b>。,家[うち]に<b> 帰[かえ]ろう</b>。,うち に <b>かえろう</b>,Let's go home.,家[うち]に<b>（　）</b>。
大きい,大[おお]きい,おおきい,big,Adjective,あの<b>大きい</b>建物は何ですか。,あの<b> 大[おお]きい</b> 建物[たてもの]は 何[なん]ですか。,あの <b>おおきい</b> たてもの は なん です か,What's that big building?,あの<b>（　）</b> 建物[たてもの]は 何[なん]ですか。
小さい,小[ちい]さい,ちいさい,small,Adjective,<b>小さい</b>花が咲いています。,<b> 小[ちい]さい</b> 花[はな]が 咲[さ]いています。,<b>ちいさい</b> はな が さいて います,Small flowers are blooming.,<b>（　）</b> 花[はな]が 咲[さ]いています。
少ない,少[すく]ない,すくない,"few, little",Adjective,今年は雨が<b>少ない</b>です。,今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。,ことし は あめ が <b>すくない</b> です 。,There's not much rain this year.,今年[ことし]は 雨[あめ]が<b>（　）</b>です。
少し,少[すこ]し,すこし,"a bit, a little while",Adverb,<b>少し</b>疲れました。,<b> 少[すこ]し</b> 疲[つか]れました。,<b>すこし</b> つかれました,I'm a little tired.,<b>（　）</b> 疲[つか]れました。
多い,多[おお]い,おおい,lots of,Adjective,京都にはお寺が<b>多い</b>。,京都[きょうと]にはお 寺[てら]が<b> 多[おお]い</b>。,きょうと に は おてら が <b>おおい</b>,There are a lot of temples in Kyoto.,京都[きょうと]にはお 寺[てら]が<b>（　）</b>。
多分,多分[たぶん],たぶん,"probably, perhaps",Adverb,彼女は<b>多分</b>家で寝ています。,彼女[かのじょ]は<b> 多分[たぶん]</b> 家[いえ]で 寝[ね]ています。,かのじょ は <b>たぶん</b> いえ で ねて います,She's probably sleeping at home.,彼女[かのじょ]は<b>（　）</b> 家[いえ]で 寝[ね]ています。
上げる,上[あ]げる,あげる,"raise, improve",Verb,彼は荷物をあみだなに<b>上げた</b>。,彼[かれ]は 荷物[にもつ]をあみだなに<b> 上[あ]げた</b>。,かれ は にもつ を あみだな に <b>あげた</b>,He put the luggage on the luggage rack.,彼[かれ]は 荷物[にもつ]をあみだなに<b>（　）</b>。
よく,よく,よく,often,Adverb,彼女は<b>よく</b>旅行に行きます。,彼女[かのじょ]は<b>よく</b> 旅行[りょこう]に 行[い]きます。,かのじょ は <b>よく</b> りょこう に いきます,She often goes on holiday.,彼女[かのじょ]は<b>（　）</b> 旅行[りょこう]に 行[い]きます。
上る,上[のぼ]る,のぼる,go up,Verb,猫が屋根に<b>上っている</b>。,猫[ねこ]が 屋根[やね]に<b> 上[のぼ]っている</b>。,ねこ が やね に <b>のぼって いる</b>,The cat's up on the roof.,猫[ねこ]が 屋根[やね]に<b>（　）</b>。
上,上[うえ],うえ,"up, above",Noun,<b>上</b>を向いて。,<b> 上[うえ]</b>を 向[む]いて。,<b>うえ</b> を むいて,Look up.,<b>（　）</b>を 向[む]いて。
下,下[した],した,"under, below",Noun,財布は机の<b>下</b>にあった。,財布[さいふ]は 机[つくえ]の<b> 下[した]</b>にあった。,さいふ は つくえ の <b>した</b> に あった,My purse was under the desk.,財布[さいふ]は 机[つくえ]の<b>（　）</b>にあった。
右,右[みぎ],みぎ,right,Noun,<b>右</b>のポケットにハンカチが入っています。,<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。,<b>みぎ</b> の ぽけっと に はんかち が はいって います,There's a handkerchief in my right pocket.,<b>（　）</b>のポケットにハンカチが 入[はい]っています。
左,左[ひだり],ひだり,left,Noun,そこを<b>左</b>に曲がってください。,そこを<b> 左[ひだり]</b>に 曲[ま]がってください。,そこ を <b>ひだり</b> に まがって ください,Please turn left there.,そこを<b>（　）</b>に 曲[ま]がってください。
方,方[ほう],ほう,"direction, side",Noun,彼は私の<b>方</b>を見ました。,彼[かれ]は 私[わたし]の<b> 方[ほう]</b>を 見[み]ました。,かれ は わたし の <b>ほう</b> を みました,He looked at me.,彼[かれ]は 私[わたし]の<b>（　）</b>を 見[み]ました。
大人,大人[おとな],おとな,adult,Noun,お酒は<b>大人</b>になってから。,お 酒[さけ]は<b> 大人[おとな]</b>になってから。,おさけ は <b>おとな</b> に なって から,You can drink alcohol when you're an adult.,お 酒[さけ]は<b>（　）</b>になってから。
人,人[ひと],ひと,person,Noun,彼は優しい<b>人</b>です。,彼[かれ]は 優[やさ]しい<b> 人[ひと]</b>です。,かれ は やさしい <b>ひと</b> です,He's a nice guy.,彼[かれ]は 優[やさ]しい<b>（　）</b>です。
一人,一人[ひとり],ひとり,"one, one person",Noun,そこには私<b>一人</b>しかいなかった。,そこには 私[わたし]<b> 一人[ひとり]</b>しかいなかった。,そこ に は わたし <b>ひとり</b> しか いなかった,I was the only one there.,そこには 私[わたし]<b>（　）</b>しかいなかった。
どう,どう,どう,"how, what",Adverb,あなたは<b>どう</b>思いますか。,あなたは<b>どう</b> 思[おも]いますか。,あなた は <b>どう</b> おもいます か,What do you think?,あなたは<b>（　）</b> 思[おも]いますか。
入れる,入[い]れる,いれる,put in,Verb,彼はかばんに手帳を<b>入れた</b>。,彼[かれ]はかばんに 手帳[てちょう]を<b> 入[い]れた</b>。,かれ は かばん に てちょう を <b>いれた</b>,He put the appointment book in his bag.,彼[かれ]はかばんに 手帳[てちょう]を<b>（　）</b>。
入る,入[はい]る,はいる,enter,Verb,寒いので中に<b>入って</b>ください。,寒[さむ]いので 中[なか]に<b> 入[はい]って</b>ください。,さむい の で なか に <b>はいって</b> ください,It's cold so please come inside.,寒[さむ]いので 中[なか]に<b>（　）</b>ください。
出る,出[で]る,でる,"go out, leave",Verb,今朝は早く家を<b>出ました</b>。,今朝[けさ]は 早[はや]く 家[いえ]を<b> 出[で]ました</b>。,けさ は はやく いえ を <b>でました</b>,I left the house early this morning.,今朝[けさ]は 早[はや]く 家[いえ]を<b>（　）</b>。
出来る,出来[でき]る,できる,"can do, be good at",Verb,彼女はイタリア語が<b>出来ます</b>。,彼女[かのじょ]はイタリア 語[ご]が<b> 出来[でき]ます</b>。,かのじょ は いたりあご が <b>できます</b>,She knows Italian.,彼女[かのじょ]はイタリア 語[ご]が<b>（　）</b>。
出す,出[だ]す,だす,take out,Verb,彼はかばんから教科書を<b>出した</b>。,彼[かれ]はかばんから 教科書[きょうかしょ]を<b> 出[だ]した</b>。,かれ は かばん から きょうかしょ を <b>だした</b>,He took the textbook out of his bag.,彼[かれ]はかばんから 教科書[きょうかしょ]を<b>（　）</b>。
本,本[ほん],ほん,"book, volume",Noun,<b>本</b>を１冊買いました。,<b> 本[ほん]</b>を １冊買[いっさつ か]いました。,<b>ほん</b> を いっさつ かいました,I bought one book.,<b>（　）</b>を １冊買[いっさつ か]いました。
休む,休[やす]む,やすむ,"take a day off, take a break",Verb,明日、会社を<b>休みます</b>。,明日[あした]、 会社[かいしゃ]を<b> 休[やす]みます</b>。,あした かいしゃ を <b>やすみます</b>,I'm off work tomorrow.,明日[あした]、 会社[かいしゃ]を<b>（　）</b>。
体,体[からだ],からだ,"body, health",Noun,私は<b>体</b>が丈夫だ。,私[わたし]は<b> 体[からだ]</b>が 丈夫[じょうぶ]だ。,わたし は <b>からだ</b> が じょうぶ だ,I'm physically strong.,私[わたし]は<b>（　）</b>が 丈夫[じょうぶ]だ。
目,目[め],め,eye,Noun,彼女は青い<b>目</b>をしています。,彼女[かのじょ]は 青[あお]い<b> 目[め]</b>をしています。,かのじょ は あおい <b>め</b> を して います,She has blue eyes.,彼女[かのじょ]は 青[あお]い<b>（　）</b>をしています。
どこ,どこ,どこ,where,Noun,あの本を<b>どこ</b>に置きましたか。,あの 本[ほん]を<b>どこ</b>に 置[お]きましたか。,あの ほん を <b>どこ</b> に おきました か,Where did you put that book?,あの 本[ほん]を<b>（　）</b>に 置[お]きましたか。
口,口[くち],くち,mouth,Noun,<b>口</b>を大きく開けてください。,<b> 口[くち]</b>を 大[おお]きく 開[あ]けてください。,<b>くち</b> を おおきく あけて ください,"Open wide, please.",<b>（　）</b>を 大[おお]きく 開[あ]けてください。
